all_input_list: 800
all_m6a_list: 8
all_snp_input_list: 15200
all_class_list: 15200
all_snp_m6a_list: 152
(17.000011350574383, 0.0078124901490095478)
(2.0000006676808737, 0.38769515457797954)
(2.0000001687159039, 1.0)
(5.000000504042027, 0.50000008366901638)
(2.0000001008084078, 1.0)
(3.000000253073824, 1.0)
(1.750000438165537, 0.54882795954039842)
(8.6666816613621052, 1.5236292383892703e-05)
(15.000008763310372, 0.015624985275425014)
(1.7142862207486926, 0.35928331065389502)
(1.5833337653984094, 0.28104131213678862)
(1.0, 1.0)
(1.7272732659512637, 0.20048824814780297)
(2.8571459160435069, 0.019157223792569671)
(2.0000001504481775, 1.0)
(2.6666671762951606, 0.22656245908242548)
(0, 999)
(3.5000028824241878, 0.030883725055495095)
(3.000000177261922, 1.0)
(0.33333330785191545, 0.62500010043836174)
(1.2000001209701503, 0.83181193788142749)
(1.5555560151238679, 0.40487279425643952)
(2.8000021258225436, 0.06356801105905556)
(0.79999993411607284, 1.0)
(1.0, 1.0)
(0.94444440834574706, 1.0)
(2.0000001647097907, 1.0)
(5.0000033384049267, 0.038574167660817747)
(1.8888897817646255, 0.16863738601267314)
(3.000000177261922, 1.0)
(1.1666667356018849, 1.0)
(2.0000010015216452, 0.23788432574892665)
(4.0000020030426215, 0.1093749180053729)
(2.5000017542499338, 0.0079158717517371514)
(0.0, 1.0)
(1.0, 1.0)
(1.7142863590641033, 0.35928330512290735)
(3.666669082412056, 0.057372973196818569)
(2.10000090051465, 0.070755447911691693)
(1.1428572319618528, 0.85553532141113164)
(2.3333347602942074, 0.016588964562137411)
(3.000000247064656, 1.0)
(17.000005198210538, 0.0078124964573310571)
(1.5000000886309741, 1.0)
(1.31578977543812, 0.45138068285608979)
(2.5000005641807932, 0.45312498306393401)
(7.5000057610173991, 0.0023498480846506405)
(1.0, 1.0)
(1.0, 1.0)
(2.0000001504481775, 1.0)
(3.000001814552804, 0.02265580807170282)
(1.8333338749673198, 0.33230580516205577)
(1.7500008857593932, 0.28627847828711106)
(1.6666668346807052, 0.72656258738402291)
(1.8571437971323379, 0.26317575394842541)
(2.5000014333310707, 0.016673813678971954)
(1.8888897817646255, 0.16863738601267314)
(4.7142903992321319, 4.2276759399994968e-05)
(1.0, 1.0)
(3.0000009882590706, 0.28906241356251283)
(2.0000001008084078, 1.0)
(3.000000253073824, 1.0)
(3.0000004513445666, 0.62499998631473974)
(0.0, 1.0)
(9.0000054161372454, 0.021484353710814693)
(4.6666709970459221, 0.012725798886467882)
(1.750000438165537, 0.54882795954039842)
(1.2500000940301321, 1.0)
(3.0000010122957663, 0.28906239387258581)
(1.5000005007608226, 0.50344446925154518)
(3.0000018053794895, 0.076812661937559396)
(3.000000177261922, 1.0)
(5.000000382221275, 0.50000004720400282)
(1.7500008647272565, 0.28627848816245371)
(5.000000504042027, 0.50000008366901638)
(2.1428581557832791, 0.13380040061001836)
(1.2500000940301321, 1.0)
(1.7500002646221373, 0.54882815789445427)
(2.6666677914399299, 0.22656238087073724)
(1.0, 1.0)
(1.333333533930994, 0.7905273521837165)
(2.200001087085425, 0.21011335595213135)
(9.000002127143441, 0.12499998406947163)
(5.000000834600639, 0.49999996477736747)
(0.49999997045634548, 1.0)
(0.33333327769329302, 0.62499990287582918)
(2.272728488886969, 0.028816671566684555)
(1.6666674902165024, 0.30745600559202191)
(0.0, 1.0)
(0.0, 1.0)
(2.1538473887161409, 0.027533099069746911)
(3.000000116949861, 1.0)
(2.0000001647097907, 1.0)
